name,short_prompt,long_prompt
Select a lighting..,,
Artificial,"Artificial Indoor Lighting.","Professional artificial indoor lighting with controlled temperature, even distribution, and studio-quality illumination setup"
Natural,"Natural Sunlight.","Beautiful natural sunlight with warm golden tones, soft shadows, and organic light quality creating authentic atmosphere"
Vibrant,"Vibrant Stage Lighting.","Dynamic vibrant stage lighting with multiple colored sources, dramatic contrasts, and theatrical intensity"
Vivid,"Vivid Spotlights.","Intense vivid spotlights creating sharp focus, dramatic shadows, and high-contrast illumination effects"
Warm,"Warm ambiance.","Cozy warm ambient lighting with golden tones, soft glow, and comfortable intimate atmosphere"
Golden Hour,"Magic hour soft lighting.","Golden hour lighting with warm, diffused sunlight, long shadows, and romantic atmospheric quality"
Blue Hour,"Twilight atmospheric glow.","Blue hour twilight with deep blue sky, balanced artificial and natural light, and moody evening atmosphere"
Harsh Sunlight,"Direct intense daylight.","Harsh direct sunlight creating strong shadows, high contrast, and dramatic lighting conditions"
Overcast,"Soft diffused cloud cover.","Overcast sky providing natural soft box lighting, even illumination, and reduced harsh shadows"
Backlit,"Rim lighting from behind.","Dramatic backlighting creating silhouettes, rim lighting effects, and atmospheric depth separation"
Side Lighting,"Dramatic lateral illumination.","Strong side lighting emphasizing texture, form, and creating dramatic shadows and highlights"
Rembrandt Lighting,"Classic portrait technique.","Traditional Rembrandt lighting with characteristic triangle highlight, dramatic shadows, and artistic depth"
Butterfly Lighting,"Centered top-down illumination.","Butterfly lighting creating symmetrical shadows under nose, glamorous portrait style, and even facial illumination"
Split Lighting,"Half face illumination.","Dramatic split lighting dividing face into light and shadow halves, creating mood and artistic tension"
Ring Light,"Circular even illumination.","Ring light providing shadowless even illumination, perfect for close-ups and beauty photography"
Softbox,"Large diffused light source.","Professional softbox lighting creating soft, even illumination with gradual shadow transitions"
Hard Light,"Sharp shadow definition.","Hard light source creating crisp shadow edges, high contrast, and dramatic lighting effects"
Candlelight,"Romantic flickering glow.","Intimate candlelight with warm orange tones, soft flickering shadows, and romantic atmosphere"
Firelight,"Dancing flame illumination.","Dynamic firelight with orange-red tones, dancing shadows, and primitive atmospheric quality"
Neon Lighting,"Electric colorful glow.","Vibrant neon lighting with electric colors, urban atmosphere, and contemporary night-time aesthetics"
LED Strip,"Linear accent lighting.","Modern LED strip lighting providing clean lines, color changing capability, and architectural accent"
Fluorescent,"Cool institutional lighting.","Fluorescent lighting with cool white temperature, even distribution, and modern commercial atmosphere"
Halogen,"Bright white illumination.","Intense halogen lighting with pure white color temperature, high intensity, and professional quality"
Tungsten,"Warm incandescent glow.","Classic tungsten lighting with warm yellow-orange tones, traditional film lighting quality"
Strobe,"Flash photography lighting.","Powerful strobe lighting for freeze-motion photography, high-speed capture, and studio work"
Continuous,"Steady constant illumination.","Professional continuous lighting for video work, consistent exposure, and real-time visualization"
Practical Light,"Visible light sources in scene.","Practical lighting with visible sources like lamps, windows, creating natural and believable illumination"
Motivated Light,"Logical source-based lighting.","Motivated lighting that appears to come from logical sources within the scene for realism"
Fill Light,"Shadow detail illumination.","Subtle fill lighting to reduce contrast, reveal shadow details, and create balanced exposure"
Key Light,"Primary subject illumination.","Main key light providing primary subject illumination, establishing mood and visual hierarchy"
Rim Light,"Edge definition lighting.","Rim lighting creating bright edges around subjects, separating from background and adding dimension"
Bounced Light,"Reflected soft illumination.","Bounced light reflected off surfaces creating soft, natural-looking illumination with reduced harshness"
Diffused Light,"Scattered soft illumination.","Heavily diffused lighting creating soft shadows, even exposure, and flattering portrait conditions"
Window Light,"Natural indoor illumination.","Beautiful window light providing natural indoor illumination with directional quality and time variation"
Sunset Lighting,"Warm evening illumination.","Gorgeous sunset lighting with warm orange-pink tones, long shadows, and romantic atmosphere"
Sunrise Lighting,"Fresh morning illumination.","Crisp sunrise lighting with cool-warm balance, fresh quality, and new day energy"
Storm Lighting,"Dramatic weather illumination.","Moody storm lighting with dark clouds, dramatic contrasts, and atmospheric tension"
Underwater Lighting,"Submerged aquatic illumination.","Ethereal underwater lighting with blue-green tones, caustic patterns, and fluid light behavior"
Urban Night,"City lights after dark.","Urban night lighting with mixed color temperatures, street lights, neon signs, and metropolitan atmosphere"
Studio Lighting,"Professional controlled setup.","Comprehensive studio lighting setup with multiple sources, precise control, and professional results"
Moonlight,"Ethereal nocturnal illumination.","Romantic moonlight with cool blue tones, mysterious shadows, and nighttime atmospheric quality"
Colored Gels,"Theatrical color lighting.","Creative colored gel lighting with vibrant hues, theatrical effects, and artistic color temperature"
Laser Light,"Precision beam illumination.","Focused laser lighting creating precise beams, sci-fi atmosphere, and concentrated light effects"
Holographic,"Futuristic projected lighting.","Advanced holographic lighting with dimensional projection, futuristic aesthetics, and sci-fi ambiance"
Bioluminescent,"Natural organism glow.","Magical bioluminescent lighting mimicking natural organism glow with blue-green ethereal quality"
Volumetric,"Atmospheric beam visibility.","Dramatic volumetric lighting revealing light beams through atmosphere, dust, or fog for cinematic effect"
