name,short_prompt,long_prompt
Select a scene...,,
Swirling Vortex,A swirling vortex of vibrant colors and abstract shapes.,"A swirling vortex of vibrant, saturated colors and abstract shapes, reminiscent of a psychedelic dream. Include fractal patterns, distorted faces, and melting landscapes. The overall composition should feel fluid and dynamic, with a sense of movement and energy. Render in a style inspired by Alex Grey and Mati Klarwein, with a focus on intricate detail and luminous colors. Add a touch of bioluminescence and subtle geometric patterns. Artstation trending, 8k resolution, intricate detail, highly detailed, psychedelic art, vibrant colors, fractal patterns, swirling vortex."
Gothic Griffin,"A majestic griffin perched atop a crumbling gothic tower, overlooking a misty valley at dawn.","A majestic griffin, with feathers of burnished gold and piercing emerald eyes, perched atop a crumbling gothic tower, its gargoyles worn by time and weather. The tower overlooks a misty valley at dawn, the first rays of sunlight breaking through the fog, illuminating the dew-covered landscape. The scene is rendered in a hyperrealistic style, with intricate details in the griffin's plumage and the tower's stonework. Focus on dramatic lighting and a sense of ancient power. Artstation trending, 8k resolution, intricate detail, photorealistic, sharp focus."
Chrome Spaceship,"A sleek, chrome spaceship landing on a desolate, alien planet.","A sleek, chrome spaceship, with glowing blue engine nacelles and intricate paneling, landing on a desolate, alien planet with red sand and towering rock formations. The sky is a hazy orange, with two moons visible. A lone figure in a spacesuit walks down the ramp. Render in a style reminiscent of Syd Mead, with a focus on clean lines and retro-futuristic design. Include volumetric lighting and a sense of scale. Artstation trending, 8k resolution, intricate detail, photorealistic, sharp focus, HDR."
Crystal Cavern,A vast underground crystal cavern with glowing formations,"An enormous underground crystal cavern filled with massive, luminescent crystal formations in blues, purples, and golds. Stalactites and stalagmites of pure crystal reach toward each other, creating natural archways. Pools of clear water reflect the crystal glow, while tiny floating particles of light dance through the air. Ancient runes are carved into the cavern walls, pulsing with magical energy. The scene has an ethereal, otherworldly quality with soft ambient lighting and mystical atmosphere. Artstation trending, 8k resolution, fantasy art, magical realism, crystal textures, volumetric lighting."
Floating Islands,Mystical floating islands connected by energy bridges,"A breathtaking vista of floating islands suspended in a twilight sky, connected by bridges of pure energy and light. Each island hosts unique biomes - one covered in cherry blossoms, another with cascading waterfalls, and a third with ancient temples. The sky transitions from deep purple to gold, with nebulae visible in the distance. Magical creatures soar between the islands, leaving trails of stardust. The art style combines photorealism with fantasy elements, featuring dramatic lighting and ethereal beauty. Artstation trending, 8k resolution, fantasy landscape, magical realism, floating architecture, atmospheric perspective."
Cyberpunk Alley,A neon-lit cyberpunk alley in the rain,"A narrow cyberpunk alley at night, slick with rain reflecting neon signs in multiple languages. Holographic advertisements float in the air, casting colored light on the wet pavement. Steam rises from manholes while cybernetically enhanced figures in trench coats hurry past. Food vendors serve glowing meals from high-tech stalls, and cables snake overhead between towering skyscrapers. The atmosphere is moody and noir, with a blend of high technology and urban decay. Artstation trending, 8k resolution, cyberpunk aesthetic, neon lighting, futuristic noir, urban sci-fi, volumetric fog."
Underwater Temple,An ancient underwater temple with bioluminescent sea life,"A massive ancient temple submerged beneath crystal-clear ocean waters, its stone pillars covered in colorful coral and algae. Schools of bioluminescent fish swim through the ruins, creating trails of light. Giant sea anemones and jellyfish drift past ornate carvings and broken statues. Shafts of sunlight penetrate the water, creating dramatic lighting effects and caustic patterns on the temple floor. The scene evokes mystery and lost civilizations, with a serene yet haunting atmosphere. Artstation trending, 8k resolution, underwater photography style, bioluminescence, ancient architecture, oceanic atmosphere."
Desert Oasis,A lush oasis in an endless desert at sunset,"A verdant oasis nestled in vast golden sand dunes under a spectacular sunset sky. Palm trees sway gently around a crystal-clear pool that perfectly mirrors the orange and purple sky. Bedouin tents are pitched nearby, with warm light glowing from within. Camels rest peacefully in the shade while merchants arrange colorful carpets and spices. The contrast between the harsh desert and life-giving water creates a sense of hope and sanctuary. Artstation trending, 8k resolution, orientalist painting style, golden hour lighting, photorealistic detail."
Enchanted Forest,A magical forest with glowing mushrooms and fairy lights,"An enchanted forest where massive ancient trees with twisted trunks reach toward a canopy filled with twinkling lights. Bioluminescent mushrooms of various sizes cast an ethereal blue-green glow on the moss-covered forest floor. Streams of golden light filter through the leaves, illuminating floating spores and tiny fairy-like creatures. Crystalline flowers bloom along winding paths, while magical butterflies with translucent wings flutter between the branches. The atmosphere is mystical and peaceful, evoking wonder and magic. Artstation trending, 8k resolution, fantasy art, bioluminescent lighting, magical realism."
Steampunk Workshop,A Victorian inventor's workshop filled with mechanical contraptions,"A cluttered Victorian inventor's workshop filled with brass gears, copper pipes, and steam-powered machinery. Intricate clockwork mechanisms cover every surface, while blueprints and sketches are scattered across wooden workbenches. Goggles, tools, and half-finished inventions create organized chaos. Steam wisps rise from various contraptions, and warm gaslight illuminates the brass and leather details. The scene captures the romance of the industrial age with fantastical mechanical innovation. Artstation trending, 8k resolution, steampunk aesthetic, warm lighting, detailed mechanical elements."
Alien Marketplace,A bustling alien bazaar on a distant planet,"A vibrant alien marketplace on a distant planet where diverse extraterrestrial species trade exotic goods under a purple sky. Multi-armed vendors sell glowing fruits, crystalline artifacts, and strange technologies from colorful stalls. Floating platforms and spiraling architecture create vertical market levels. Bioluminescent creatures serve as living decorations, while holographic signs advertise in alien scripts. The atmosphere bustles with activity, strange sounds, and otherworldly aromas. Artstation trending, 8k resolution, sci-fi concept art, alien design, vibrant colors, detailed worldbuilding."
Post-Apocalyptic City,A ruined cityscape reclaimed by nature,"A post-apocalyptic city where nature has begun reclaiming abandoned skyscrapers. Vines and moss cover crumbling concrete, while trees grow through broken windows. Rusted vehicles are scattered among wildflowers, and wildlife roams freely through empty streets. A lone survivor walks through the scene, dwarfed by the overgrown urban decay. Shafts of sunlight break through the canopy, creating a hopeful atmosphere despite the destruction. The scene balances melancholy with the beauty of nature's resilience. Artstation trending, 8k resolution, post-apocalyptic art, overgrown ruins, atmospheric lighting."
Space Station Interior,A high-tech space station corridor with Earth visible,"A sleek space station corridor with curved walls and advanced technology displays. Large observation windows reveal Earth rotating peacefully below, its blue oceans and white clouds creating a stunning backdrop. Holographic interfaces float in the air while crew members in futuristic uniforms go about their duties. The lighting is clean and modern, with blue and white tones creating a sense of advanced civilization. Details include artificial gravity systems, life support readouts, and glimpses of hydroponic gardens. Artstation trending, 8k resolution, sci-fi interior design, space aesthetic, futuristic technology."
Medieval Castle,A majestic medieval castle on a cliff overlooking the sea,"A magnificent medieval castle perched dramatically on a rocky cliff overlooking a stormy sea. Massive stone walls and towers rise against dark clouds, while waves crash against the rocks below. Banners flutter from the battlements in the wind, and warm light glows from the windows. A winding path leads up the cliff face, with wildflowers growing in the cracks of the ancient stone. The scene captures the romance and power of medieval architecture against the raw force of nature. Artstation trending, 8k resolution, medieval architecture, dramatic lighting, photorealistic detail."
Japanese Garden,A serene Japanese garden with cherry blossoms,"A perfectly manicured Japanese garden during cherry blossom season, with pink petals gently falling onto a mirror-like pond. A traditional wooden bridge arches over the water, where koi fish swim lazily below. Stone lanterns line the winding paths, while carefully pruned trees create artistic silhouettes. A traditional tea house sits peacefully in the background, with sliding doors open to reveal tatami mats. The scene embodies tranquility, harmony, and the Japanese aesthetic of finding beauty in simplicity. Artstation trending, 8k resolution, Japanese aesthetics, peaceful atmosphere, detailed traditional architecture."
Viking Longship,A Viking longship sailing through rough northern seas,"A magnificent Viking longship cutting through stormy northern seas, its dragon-head prow rising and falling with the massive waves. The striped sail billows in the harsh wind while fierce warriors man the oars. Lightning illuminates the dark sky, revealing icebergs and distant fjords. The ship's wooden construction shows intricate Norse carvings and weathered battle damage. Spray and foam crash over the deck as the vessel pushes forward through the tempest. The scene captures the courage and seafaring spirit of the Viking age. Artstation trending, 8k resolution, historical accuracy, dramatic seascape, Norse aesthetics."
Fairy Tale Castle,A whimsical fairy tale castle in the clouds,"A whimsical fairy tale castle floating among fluffy white clouds, its towers reaching impossible heights with colorful spires and flags. Rainbow bridges connect different sections of the castle, while winged horses and dragons soar around the towers. Gardens hang impossibly in mid-air, filled with flowers that seem to glow with inner light. The architecture defies physics with spiraling staircases and gravity-defying balconies. Below, the earth is visible through breaks in the clouds. The scene captures pure fantasy and childlike wonder. Artstation trending, 8k resolution, fairy tale art, whimsical architecture, magical realism."
Ancient Library,A vast ancient library with towering shelves of books,"An enormous ancient library with impossibly tall shelves stretching into misty heights, filled with countless leather-bound tomes and scrolls. Floating platforms and spiral staircases provide access to the higher levels, while warm lamplight creates pools of golden illumination. Scholars in robes study at scattered desks, surrounded by open books and ancient maps. Dust motes dance in shafts of light filtering through tall windows. The scene evokes the accumulated wisdom of ages and the magic of knowledge. Artstation trending, 8k resolution, classical architecture, warm lighting, detailed book textures, scholarly atmosphere."
