name,short_prompt,long_prompt
Select a motion...,,
Rotating Left,"Horizontal camera rotate to the left","Smooth horizontal camera [rotate:8] to the [left:0.7] creating cinematic sweeping motion"
Rotating Right,"Horizontal camera rotate to the right","Fluid horizontal camera [rotate:8] to the [right:0.7] with controlled rotational movement"
Panning Left,"Horizontal camera move to the left","Steady horizontal camera [move:8] to the [left:0.7] following action with smooth tracking"
Panning Right,"Horizontal camera move to the right","Controlled horizontal camera [move:8] to the [right:0.7] maintaining subject focus"
Tilting Up,"Vertical camera move to up","Gradual vertical camera [tilt:8] [up:0.7] revealing height and creating dramatic perspective"
Tilting Down,"Vertical camera move down","Smooth vertical camera [tilt:8] [down:0.7] following downward action with controlled descent"
Zooming In,"Camera lens zoom closer","Dynamic camera [zoom:8] [in:0.8] approaching subject with increasing magnification and intimacy"
Zooming Out,"Camera lens zoom farther","Revealing camera [zoom:8] [out:0.8] providing context and broader perspective of scene"
Dolly Forward,"Camera moving forward on track","Smooth dolly [forward:8] movement creating parallax effect and immersive forward motion"
Dolly Backward,"Camera moving backward on track","Controlled dolly [backward:8] movement revealing environment and creating separation"
Tracking Shot,"Camera follows subject laterally","Professional tracking shot [following:8] subject with [lateral:0.7] movement maintaining focus"
Crane Up,"Vertical crane movement upward","Majestic crane [up:8] movement revealing scale and providing godlike elevated perspective"
Crane Down,"Vertical crane movement downward","Dramatic crane [down:8] movement creating intimacy and focusing attention downward"
Orbiting,"Circular movement around subject","Cinematic [orbit:8] movement around subject maintaining center focus with [circular:0.8] path"
Handheld,"Natural camera shake movement","Realistic [handheld:6] camera movement with natural shake and [organic:0.6] human motion"
Steadicam,"Smooth floating movement","Professional steadicam [floating:8] movement with [smooth:0.9] stabilization and fluid motion"
Whip Pan,"Fast horizontal movement blur","Rapid [whip:9] pan movement creating motion blur and [transition:0.8] between scenes"
Push In,"Slow approach to subject","Gentle [push:6] movement toward subject creating [intimacy:0.7] and emotional connection"
Pull Back,"Slow retreat from subject","Gradual [pull:6] movement away from subject providing [context:0.7] and spatial awareness"
Dutch Angle,"Tilted horizon camera angle","Creative [dutch:7] angle with tilted horizon creating [tension:0.8] and dynamic composition"
Jib Arm,"Mechanical arm movement","Professional jib arm [sweep:8] creating [elevated:0.7] perspectives with mechanical precision"
Static Hold,"Perfectly still camera","Motionless [static:10] camera position maintaining [stability:1.0] and focused composition"
Slow Motion,"Reduced speed movement","Dramatic [slow:4] motion effect creating [ethereal:0.8] and contemplative pacing"
Time Lapse,"Accelerated time movement","Compressed [timelapse:12] movement showing [change:0.9] over extended time periods"
Oscillating,"Back and forth movement","Rhythmic [oscillate:6] camera movement with [pendulum:0.7] like back and forth motion"
Spiral,"Spiraling movement pattern","Complex [spiral:8] camera movement combining rotation with [approach:0.6] creating hypnotic effect"
Figure Eight,"Figure-8 movement pattern","Sophisticated [figure8:8] camera movement creating [dynamic:0.8] flowing composition"
Arc Movement,"Curved path tracking","Graceful [arc:7] movement following curved path with [smooth:0.8] trajectory"
Boom Up,"Rapid upward movement","Quick [boom:9] upward movement creating [dramatic:0.8] reveal and elevated perspective"
Boom Down,"Rapid downward movement","Swift [boom:9] downward movement for [impact:0.8] and focused attention"
Pedestal Up,"Vertical platform rise","Controlled [pedestal:7] upward movement maintaining [level:0.9] horizontal orientation"
Pedestal Down,"Vertical platform descent","Smooth [pedestal:7] downward movement with [controlled:0.9] vertical descent"
Rack Focus,"Focus shift between subjects","Professional [rack:8] focus shift creating [depth:0.8] and directing viewer attention"
Crash Zoom,"Rapid zoom movement","Intense [crash:9] zoom creating [dramatic:0.9] emphasis and sudden magnification"
Reverse Tracking,"Backward following movement","Reverse [tracking:8] movement leading subject with [backward:0.7] camera motion"
Sideways Slide,"Lateral sliding movement","Smooth [slide:7] lateral movement across scene with [perpendicular:0.8] motion"
Circular Track,"Complete circular movement","Full [circular:8] tracking movement around subject with [360:1.0] degree coverage"
Helicopter Shot,"Aerial helicopter movement","Aerial [helicopter:8] movement providing [bird's eye:0.9] perspective and sweeping coverage"
Drone Flight,"Unmanned aerial movement","Modern [drone:8] flight pattern with [aerial:0.9] perspective and smooth automated movement"
Gimbal Smooth,"Stabilized smooth movement","Professional [gimbal:9] stabilized movement providing [smooth:0.95] and controlled motion"
Vertigo Effect,"Dolly zoom combination","Classic [vertigo:8] effect combining dolly and zoom for [disorienting:0.8] perspective shift"
Swish Pan,"Fast transitional movement","Quick [swish:9] pan movement creating [motion blur:0.8] for scene transitions"
Float Movement,"Weightless drifting motion","Ethereal [float:6] movement creating [weightless:0.8] and dreamlike camera motion"
Shake Effect,"Intentional camera vibration","Deliberate [shake:7] effect creating [tension:0.8] and kinetic energy with controlled vibration"
Glide Movement,"Smooth effortless motion","Graceful [glide:8] movement with [effortless:0.9] flow and seamless camera motion"
Swoop Down,"Dramatic descending arc","Dynamic [swoop:8] downward arc movement creating [dramatic:0.8] entrance and impact"
Swoop Up,"Rising arc movement","Powerful [swoop:8] upward arc movement providing [elevation:0.8] and triumphant perspective"
